tupi,portugues
MO-APÃ-TYNÃ,"transitivo: encaroqar, misturar. - mo- apã-i-u-guã."
MO-APÃ-XIXÃ,"transitivo: encarogar, misturar. Substan- tivo: mistura."
MO-APE,"transitivo: entortar,"
MO-APEPU,"transitivo: abrir greta em, gretar, abrir gretando."
MO-APERERÃ,"transitivo: encaroqar, misturar, aparar, tosar."
MQ-APIÃ,transitivo:
MQ-APIÃ,circuncidar.
MO-API-TINGA,transitivo: manchar.
MO-API-Xó-QOK-A,transitivo: contar aos trancos.
MO-APONG-A,intransitivo: opilar.
MO-APOÃ-I,transitivo: encurtar.
MO-APUÃ,"transitivo: agucar a ponta de, fazer ponta em."
MO-APUÃ,transitivo:'amontoar. 2 Arredondar. 3 Fazer bolo tas de.
MO-APUÃ-I,transitivo: encurtar.
MO-AP0AM-A,transitivo: fazer bolotas de.
MO-APUÃ-'ó-BYRA,"transitivo: fazer a ponta de, fazer pon ta em."
MO-APY,transitivo: esgotar.
MO-APY-AMA,transitivo: ‘inclinar. a Ladear. 3 Fazer des- cer. 'Curvar. mo-apy-qA-kA. Verbo: intran3itivo: 1 fazer que ou
MO-APY-AMA,"a. a Escarnecer, raotejar, remocar. mo-apy-qA-kOa-I-eO"
MO-APY-gA-KUA-i-EO,transitivo: ensurdecer.
MO-APY-QÃ-kOA-I-eO-KA,"transitivo: ensurdecer,"
MO-APY-gA-KOA-KANHEM. A-,transitivo: ensurdecer.
MO-APY-<JANG-A,"transitivo: engrossar, coagular, coalhar."
MO-APY-<^YK-A,"intransitivo: 1 consolar. 2 Contentar, delei- tar. 3 Sossegar, tranqiiilizar. “Fartar."
MO-APY-I-A,"transitivo: arredondar, acertar as pontas."
MO-APYK-A,"transitivo: cozer, cozinhar."
MO-APYR-A,"transitivo: 1 inclinar, dobrar, curvar. 2 Con- cluir. mo-A-FYTA-gOA. Verbo: transitivo: fazer cabeça em, fazer sali- encia em."
MO-A-PYTÃ-Í-YK-A,transitivo: tornar pegajoso.
MO-APYTAM-A,"transitivo: fazer feixe de, fazer ramalhe te de, fazer fiada de ramalhete de."
MO-A-PYT-'EREB-A,transitivo: mandar.
MO-AR-A,transitivo:
MO-AR-A,"apanhar. 2 Fazer cair- 3 Tirar fogo. ""Dar ã lu"
MO-AR-A,", s Ajudar a nascer. 6 Embarcar."
MO-A-RÉ-A,transitivo: aleijar.
MO-ARUAB-A,"transitivo: impedir, estorvar."
MO-ARUAP ' -ABA,: impedimento.
"MO-AR-Y-BÉ,",transitivo: cessar „ acalmar ou mitigar a dor de.
MO-ATÃ,"transitivo: endurecer, estirar, distender, es- tender, esticar, enrijecer."
MO-A-TANHÉ,transitivo: entesar.
MO-A-TEE,transitivo: aleijar.
MO-A-TÉ-MÃ,: uiI ó'.
MO-A-TE-RE,transitivo: cortar até a rai
MO-A-TE-RE,de.
MO-ATI-Al-A,transitivo: eriqar.
MO-ATYR-A,"transitivo: amontoar, arrepiar, encrespar."
M0-ATY-R5,transitivo: qonsertar.
MO-A0IÉ,"transitivo: 1 acabar, complétar. 2 Cativar, es- cravizar, tornar cativo. 3 Vencer."
MO-aOIÉ-KATU,"transitivo: aperfeiqoar, concluir, rema- tar."
"MO-AYPAB-A,",transitivo: esfalfar.
MO-AYR-A,"transitivo: fazer ser filho, ter filho."
MO-AYR-Í,"transitivo: afinar, adelgagar."
MO-BABAK-A,"transitivo: virar para um e outro lado, abanar."
MO-BA-PYK-A-É,"transitivo: nivelar, terraplenar."
MO-BO-gYl-A,"transitivo: carregar, por carga em, levar."
MO-BOK-A,"transitivo: neutro: escalar peixe, estripar, furar, fender, lancetar, rachar, rebentar."
MO-BOK-ABA,cunha.
MO-BYAR-A,"transitivo: Momar, amansar, domesticar. 2 Acomodar."
MO-BY-BYK-A,"transitivo: coser, costurar. A duplicação é significativa de repeti"
MO-BY-BYK-A,ao de agoes para alcan -
MO-BY-BYK-A,ar o objetivo.
MO-BY-BYK-ABA,costura. A duplicação é signi- ficativa de repetiqão do ato para alcance do objeti vo.
"MOBYR. Indefinido; algumas vezes, alguns, poucas vezes, pouco. Precede o",e é Pronome: objetivo:
"MOBYR-ÍO. Indefinido: alguns, poucos. Precede o substantivo, e é",e Adjetivo:
"MOBYR-lO-AUB. Indefinido: alguns, pouquinhos. Precede o subj; tantivo e é",e Adjetivo:
MOBYR-MOBYR. Indefinido: alguns. Precede o,e é Pronome: e Adjetivo:
MO-'QA-BÉ-I-POR-A,"transitivo: embriagar, embebedar."
MO-'QÃ-BÉ-Y-POR-A,"transitivo: embriagar, embebedar,"
MO-'QÃ-BÉ-Y-POR-A,ã-bé-i-por-a.
MO-'QÃ-QÃI-A,iterativo: espalhar.
"MO-QÃI-A,","iterativo: espalhar, estender."
MO-'QÃ-INAN-A-EQÉ,"transitivo: relativo: preocupar, fa- zer cuidar, cuidar."
MG-QÃ-INGO,transitivo: pendurar.
MO-'QÃ-K-ARA,"homem hospitaleiro/ fidalgo, o que acolhe, homem generoso, homem liberal."
MO-'QÃ-KOl-EQÉ,"transitivo: relativo: acauteiar, prover."
MO-'QÃ-KOÍ-EQÉ,"transitivo: relativo: preparar para, pro ver de, preparar."
MO-QAM-A,"transitivo: amarrar, enastrar, iif"
MOQA-MOQAl-A,"transitivo: esborralhar, espalhar. A du- plicaQao é de realce."
MOQ'-ANG'-6-lARA. Substantivo; senhor das mezinhas e feiti- <jos,feiticeiro.
"MOQAPYR. Numeral-cardi'nal: tris, trés vezes",- ordinal: terceira ve
"MOQAPYR. Numeral-cardi'nal: tris, trés vezes",", terceiro. Pode significar trés juntos, mas a palavra a que numera se for paroxitona perde a sllaba final. Ex: akanga - cabega. Akan-mogapyra: trés cabegas juntas.= nvogapy t,"
MOQAPYT,"cardinal: trés, trés vezes."
MO-QARAÍ-A,"transitivo: brincar, fa 2 er festas. Substan- tivo: brincadeira, festa, jqgo. Só aparece em compo sigao, porque se trata da palavra ""nhe-mo-garai-a 1 '."
MO-QEM-A,"transitivo: despedir, enxotar, fazer sair, to car para fora, tocar para."
MOQU,". mugum, peixe da familia dos simbrãnquios, gênero Symbranchus."
MO-QUQUNG-A,"transitivo: acalentar crianga, sacudir."
MO-QU-QUNG-A,transitivo: sacudir.
MO-QUNUNG-A,transitivo: sacudir.
MO-QYK-A,"transitivo: neutro: dar puxao, fazer chegar."
MO-QYKYlÉ,"transitivo: assustar, espantar, amedrontar, atemorizar."
MO-QYM-A,transitivo: alisar.
MO-CYNl-NING-ñ,sino.
"MO-CYRYK-A,","transitivo: fritar, l"
MO-QYRY-RYK-A,transitivo: iterativo: fritar. A duplica- cao é de realce.
MO-fi,"transitivo: derramar, expelir."
MO-EBUR-UQU,"transitivo: a, umentar o tamanho, engrande - cer."
MO-fi-BYK-ATA,transitivo: empanturrar.
MO-EQÃ-GUY-R-YBA,"transitivo: tontear, causar vertigens a, enjoar."
MO-EQSI-A,"transitivo: alegrar, recrear."
MO-EQ^I-ND'-ABA,"alegria, causa de alegria. mo-eqi-kOar-a mo-gOA-pyk-a"
MO-EQÃ-K0aR-A,transitivo: amontoar.
MO-EQÃ-kOAR-ANAM-A,transitivo: amontoar.
MO-EQÃ-kOAR-ANAM-A,ã- kuar-a.
MO-EQÃ-PYTUM-BYK-a,transitivo: fazer desmaiar.
MO-EE,"transitivo: adoqiar, salgar, temperar."
MOEMA,"irregular: calúnia, mentira, intrigan- te. Adjetivo: caluniador, mentiroso y intrigante."
MO-EM-A,"transitivp: derramar, expelir."
MOEM-A-EQé,"transitivo: irregular: levantar falso contra, mentir."
MO-E-MBIAR-ÍAR-A-EQÉ,reflexivo: relativo: deixar-se vencer por. - mo-e-mbiar-Iar-i-iar-a-e<jé.
MO-E-MBIAR-I-ÍARA-EGÉ,reflexivo: relativo: deixar-se vencer por.
MO-E-MBIAR-YBY,transitivo: assar em covas.
MO-E-MI-MBORA-RÃ,transitivo: fazer sofrer.
MO-EMON-A,"transitivo: comichar, estimular."
MO-EN-A,transitivo: derramar.
MO-ENDY,transitivo: acender lu
MO-ENDY,", iluminar."
MO-ENDY-I-AB-A,"transitivo: tirar faisca de, tirar fogo ou chispas."
MO-ENDY-KA,transitivo: acender fogo.
MO-ENDY-PUK-A,transitivo: dar brilho em.
MO-ENONDÉ,transitivo: adiantar.
MO-E-PY,"transitivo: 1 pagar, compensar, descontar."
MO-E-PY,"Premiar, recompensar. 3 Remir, resgatar."
MO-E-PY.^AM-A,transitivo: separar ou dividir só de unt lado.
MO-E-R-APUAN-A,"transitivo: 1 tornar famoso, celebrizar. 2 Celebrar."
MO-E-R-APUAN'-AIB-A,transitivo; difamar.
MO-E-R-APUAN-I-MBYRA-I,"‘afamado, célebre."
MO-ETÃ,"transitivo: multiplicar, aumentar o número de."
"MO-ETÉ,","transitivo: 1 gabar, honrar, estimar, enaltecer, fazer caso de, engrandecer. 2 Acatar, respeitar."
"MO-ETÉ,","Ado rar, venerar."
MO-gOab-A,"transitivo: coar, joeirar, peneirar."
MO-GOAl-A,defectivo: irregular:
MO-GOAl-A,"cortar com cunha, com machado ou a golpes."
MO-GOAl-A,Ferir com instrumento.
MO-G0Ã-PYK-A,"transitivo: assentar, fazer sentar, aco- modar, sentar-se. mo-gOeb-a mo-Íe-qOer-a"
MO-gOeb-A,transitivo: apagar.
MO-GOé-I-YBA,"transitivo: fazer descer, abaixar."
MO-G0Y-API,"transitivo: 1 atirar no chao, derrubar. 2 De sarmar."
MO-GOYR-A,"transitivo: aliviar o peso de, erguer, levantar."
MO-GUY-RuPA,"transitivo: atirar no chao, jogar no chao"
MO-ÍAB-A,"transitivo: fazer com que se abra, fazer a- brir."
MO-ÍA-Q-EKó,"transitiv’o: dependurar, pendurar, supen- der."
MO-ÍA-QEó,"transitivo: fazer chorar, mover a pranto."
MO-ÍA-QYK-A,"transitivo: banhar, lavar."
MO-ÍA-QYK-A,batizar.
MO - ÍANYPÃ'GUER-A,transitivo: tingir ou manchar de jenipapo com o contacto do corpo.
MO-ÍA-OK-A,"transitivo: apartar, distribuir, dividir, repartir."
MO-I-ARA,variedade de colar.
MO-lAR-A-EQÉ,"transitivo: relativo: 1 colar, pregar, aper tar contra, encurralar, encostar, unir, cerrar. 2 Ata- car, agredir, investir contra."
MO-lAR'-ATA,transitivo: apertar contra algo.
MO-I-ARU,"transitivo: brincar, escarnecer, motejar, zombar de."
MO-lA-TINUNG-A,"transitivo: balangar, embalar."
MO-lA-uO,"transitivo: alcangar, nascer antes que o irmão precedente seja desmamado."
"MO-lE. Partlcula, conposta do","causativo ""mo-"" e da reflexiva ""le"", geralmente tomada pelos verbos intran sitivos de Pronome: paciente. Ex: akub"
MO-lE-BIAR-A,"intransitivo: honrar, obedecer."
MO-lE-BYR-A,"intransitivo: converter, devolver, fazer voltar, remar para trãs repetir, vomitar. r"
MO-lE-BYR-UKAR-A,"intransitivo: devólver, fazer voltar restituir."
MO-tE-QEAR-A,intransitivo:
MO-tE-QEAR-A,"frechar. Juntar, misturar coisas da mesma espécie, unir."
MO-lE-QUB-A-QUPÉ,"transitivo-relativo: deparar. mo-Ie-qOer-a. Verbo: intransitivo: induzir a ir, convencer de ir, fazer ir. mo-Ie-guak-a"
MO-ÍE-gCak-A,"intransitivo: adornar, ataviar, enfeitar, engalanar, orr. anentar, pintar."
MO-IE-IUKA,"reflexivo: fazer matar-se, fazer com que se mate."
MO-lE-KAK-A,intransitivo: flexar de uma ve
MO-lE-KAK-A,.
MO-lE-KO(^UB-A-EQÉ,"transitivo-relativo: ajudar a obter, conceder, fazer alcancar."
MO-lE-KOgUP-ABA,": concessao, resultado."
MO-Ie-kCaB-A,"transitivo: manifestar, demonstrar."
MO-lE-KUNDAB-A,"transitivo: e reflexivo: contorcer, con- torcer-se."
MO-lE-KUND-AQAB-A,intransitivado: atravessar ou cruzar uma coisa sobre outra.
"MO-ÍE-MO, Particulas agrupadas, com o","causativo ""mo-"""
"MO-ÍE-MO, Particulas agrupadas, com o","a reflexiva ""le” e novamente ""mo“. S tomada pelos verbos intransitivos de prorvomes pacientes: Ex: akub= ser quente- A-x-mo-Ie-mo akub: fago-o esquentar-se."
MO-ÍE-MO-AKUB-A,intransitivado: fazer com que se esquente.
MO-ÍE-MO-PI-ROY,intransitivo:: fazer com que se refresque.
MO-1e-POKU-g0ab-A,"intransitivado: acostumar, exercitar."
MO-lE-POTA-BS,intransitivo: continuar.
MO-Ie-POTÃ-bS-TABé,"frequentativo: ficar continuando,"
MO-lE-POTAR-Aiiubstantivo variedade de colar,transiti
MO-lE-POTAR-Aiiubstantivo variedade de colar,"vo:'acender. 2 Atear fogo, fa gulhar, tirar fogo. 3 Colar,. juntar, unir."
MO-lE-PUBU-ÍEREB-A,intransitivo: afundar.
MO-ÍEREB-A,"transitivo: virar, dar volta em."
MO-IERÉ-k0ab-A,"transitivo: aplacar, reconciliar, aman sar."
MO-lE-R-O-BIAR-A,"transitivo: honrar, obedecer."
MO-ÍE-R-O-BUR-A,"transitivo: 1 avivar, reavivar. 2 Renovar."
MO-lE-R-O-BYK-A,"transitivo-relativo: fazer com que se juntem, juntar, unir."
MO-ÍE-TANO,"intransitivo: inaugurar, estreiar."
MO-ÍE-TANONG-A,"intrarisitivo: inaugurar, estreiar."
MQ-ÍE - UPIR-A,intransitivo: fazer subir.
MO-IN-A,transitivo:
MO-IN-A,"colocar ou por sentado ou quieto. 2 Cozinhar, ’Entoar, tirar canto."
MO-IN-A-<SUPS,"transitivo: relativo: apontar pa- ra, armar."
MO-IN-A ETÃ-REQÉ,transitivo: prender.
MO-IN-A NHEENGA-guPÉ,"intransitivo: arrozoar, discur - sar, falar a, fazer discurso."
MO-IN-GATU,"transitivo: 1 firmar. 2 Guardar bem, fazer estar bem."
MO-INGé,"transitivo: fazer entrar, introduzir, reco- lher. S irregular somente em sua formaqao: a partl- cula causativa ""mo-"""
MO-INGé,"o Verbo: ""iké"" entrar,"
MO-ING0,"transitivo: colocar, dependurar, estabelecer, fazer estar, fazer com que se faga, fa zer que, fazer ser, fa 2 er viver, tornar a. S irregu lar somente em sua formagão: a particula causativa ""mo-"""
MO-ING0,"o Verbo: ""iko"""
MO-INGó-BÉ,transitivo: fazer viver. fresuscitar. =
MO-INGO-BÉ. IE-BYR-A,transitivo: t resuscitar. =
MO-ING0-BÉ-KATU,transitivo: prolongar a vida.
MO-INGó-BÉ-PUKU,"transitivo: fazer viver longamente, prolongar a vida, tornar a vida mais comprida."
MO-ING0-É,"transitivo: separar, diferengar, distinguir."
MO-ING0-KATU,"transitivo: fazer estar bem, viver ou ser bem, ajeitar."
MO-ING0-PUKU,"transitivo: fazer viver longamente, fa- zer a vida mais comprida."
MO-INGO-TEBÉ,"transitivo': afligir, entristecer."
MO—INGO-UKAR—A,"transitivo-relativo: fazer que, in- duzir."
MO-IN'-I-BÉ,"transitivo: confirraar, sustentar."
MO-IO A-KY-PÉE ' -KY-PÉER-A,transitivo: repetir.
MO-IO-A-KY-POER-A,transitivo: repetir.
MO-IO-APARY-BYR-A,"transitivo: dobrar pelas pontas, eraparelhar."
MO-lO-APYR-A,"transitivo: acrescentar a, emendar."
MO-IO-AR-A,"transitivo: dobrar, aumentar o numero de, multiplicar."
MO-IO-BÃI-A,transitivo: por um diante do outro.
MO-IO-BÃI-x0ARqA,transitivo: por um diante do outro. - mo-Io-bãi-a.
MO-tO-gAR-A,transitivo: causar ardor a ( causar travo.
MO-tO-E-R-O-BYK-A,"transitivo: juntar, fazer com que se juntem,"
MO-ÍO-I-AB-A,"transitivo: igualar, aplainar, nivelar."
MO-IO-Í-AB-A,transitivo:: fazer igualarem-se (para duas ou mais coisas).
M0-l0-I-AB-A-EgS,intransitivo: comparecer.
MO-Io-IUKA,transitivo-relativo: fazer com que se ma- tem.
MO-IO-YBYR-A,"transitivo: dobrar pano, etc."
MO-lUB-A,"transitivo: tingir de amarelo, amarelar, dourar."
MO-i-U-PlA-E-R-UB-A,transitivo: por a chocar.
MO-IURA-RA-GDAl-A,"transitivo: desmentir, convencer de mentira."
MO-lURU-É,transitivo: desenfastiar.
MO-I-YB-A,"transitivo: 1 assar, cozer, guisar. 2 Fazer suar."
MO-KABA,"arma de fogo, bombarda, fusil, ti- ro."
MO-KAB-AYNHA,pelouro.
MO-KAB-OBY,bombarda.
MO-KAB-OKA,fortaleza.
MO-KAB-ugu,canhão.
MO-KAB-ugu-MIRÍ,bombarda.
MO-KAE,"grelha, moquém. Verbo: transitivo:"
MO-KAE,"defumar, moquear, secar, tostar. Ex: a-I-mo-kae pirã: eu moqueei o peixe."
MO-KAE-YTÃ,grelha. =
"MO-KAE-YTÃ—lURÃ,",grelha.
MO-KAl-A,transitivo: queimar.
MO-KA-KUAR-A,bombaraeira.
MO-KA-KUl,pólvora.
MO-KAMB-U,"intransitivo: criar ao peito, amamentar, dar leite a."
"MO-KAMB-U-ARA,",: ama de leite.
MO-KANÃI-A,transitivo-neutro: fazer bolir. ffl
MO-KANEO,"transitivo: cansar, fatigar."
MO-KANG-A,transitivo: enxugar.
MO-KANHEM-A,"transitivo: Mestruir, consumir. 2 Afugen- tar. 3 Tirar."
MO-KARU-gOara,"engenhoso,"
MO-KIKIK-A,transitivo: fazer cócegas em.
MOKd,"mocó, preã, roedor da familia dos cãvidas, gênero Kerodon."
MO-KO^OK-A,transitivo: vascolejar.
MO-KOEM-A,transitivo: por ao relento ou ao sereno.
"MO-KOI. Numeral-cardinal: dois. Literalmente; faz par. Tam- bém significa dois juntos, mas se a palavra a que nu- mera for paroxitona esta perde a silaba final. Ex: akang« cabega. Akan-iuo-koi: duas cabegas juntas. Os numerais antepostos ao",se adverbiaiizam: Ex: mo-koi o-kanhem: desapareceu por duas vezes.
MO-Kói-BÉ,"ambos, ambos juntos."
MO-KOK-ABA,"bordao, bastao, arrimo."
MO-KONHó,e pronome: poucos.
MO-KOTOK-A,transitivo; vascolejar.
MO-KUAB-A,transitivo: fazer estar.
MO-k0ar-A,"transitivo: 1 fazer buraco em, furar. i Deflo- rar."
MO-KUB-A,transitivo: fa 2 er estar.
MO-KU-QAMB-AR-A,transitivo: dar lago em corda.
MO-KUl,pólvora. Verbo: tran sitivo (fazer
MO-KUl,"ari-nha): J esfarelar, moer, pulverizar. 2 Humilhar."
MO-KUNHX,transitivo: dar alforria a mulher.
MO-KU-TEl,"transitivó: sacudir, chocalhar. kogok-a."
MOKYRANA,variedade de piolho.
MO-MAENDGar-A,"transitivo: iembrar, fazer lembrar."
MO-MARA-AR-A,transitivo: fazer com que se envergonhe.
MO-tiARAN-A,"transitivo: desobedecer, ofender, resistir a."
MO-MARA-KGATU,bom.
MO-MATUETÉ,"transitivo: 1 enaltecer, engrandecer. 2 Aper- feicoar, esmerar-se. 3 Honrar."
MO-MBAB-A,"transitivo: neutro: acabar, concluir, destruir-se."
MO-MBAB-UKAR-A,transitivó: mandar acabar.
MO-MBAÉ,trareitivo: enriquecer.
MO-MBAÉ-kOAB-A,"transitivo: fazer saber, en sinar."
MO-MBAÉ-KU-G0AB-A,transitivo: ensinar.
MO-MBA'-ETÉ,"transitivo: 1 enaltecer, engrandecer. 2 Hon- rar, estimar, encarecer."
MO-MBAÉ-C,transitivo: dar de comer a.
MO-MBAK-A,"transitivo: acordar, despertar. Composto do Prefixo: causativo ""mo-"""
MO-MBAK-A,"""pak"""
MO-MBARA-AR-A,transitivo: fazer com que se envergonhe.
MO-MBEK-A,"transitivo: achatar, esmagar. Verbo: intran- sitivo: acovardar."
MO-MBE0,transitivo:
MO-MBE0,"acusar, denunciar, revelar. 2 Con fessar, contar fatos, declarar, dizer, narrar,_refe - rir. 3 Prometer. 0 segundo elemento não tem uso isolado (sem ""mo-""), desconhecendo-se o seu senti"
MO-MBE0,do original.
MO-MBE0-AB'-AIB-A,"transitivo: confundir, misturar."
MO-MBE0-AIBA,"transitivo: falar mal de, maldizer."
MO-MBE0-KATU,"transitivo: falar bem de, bendizer, louvar."
MO-MBE0-KATU-PYRA-I,bendito.
MO-MBE0-MBE0,"imperfectivo: 3 divulgar, publicar, relatar tornar público (todos quando revelando o que é secreto por erro, consciente ou inconsciente. 2 Queixar-se. A duplicidade é de realce."
MO-MBE0-PORANG-A,"transitivo: louvar, bendizer, falar bem de."
MO-MBIÃ,transitivo: canalizar.
MO-MBIAR-I-iARA-EQÉ,transitivo: xelativo: dexar-se ven- cer por.
MO-MBYK-A,"transitivo: fazer cessar, suspender."
MO-MBI-PIK-A,"transitivo: i cavar, lavrãr, 2 Picar pedra."
MO-MBó-ARA,atirador.
MO-MBó-SARA,atirador. -- mo-mbó-ara.
MO-MBOl-A,transitivo: ameagar.
MO-MBó-IR-A,transitivo: apartar.
MO-MBó-OK-A,transitivo: 1 acaientar crianga. 2 Furar.
MO-MBó-POR-A,"transitiVo-iterativo: atirar, lancar, fazer pular ou saltar, alijar, fazer saltitar (com ameatja)."
MO-MBOR-A,"transitivo: irregular: atirar, atirar se, fazer pular, fazer saltar, lancar."
MO-MBOR-E-AUQUB-A,compaixao. Verbo: transiti - vo
MO-MBOR-E-AUQUB-A,"'afligir, compadecer-se, ter dó. 2 Empobrecer. 3 Hu- milhar."
MO-MBOTAR-A,"transitivo: fazer-se cobitjar ou querer, desejar. Composto do Prefixo: causativo ""mo-"""
MO-MBOTAR-A,"o Verbo: ""potar-a"""
MO-MBO-XY,"transitivo: desonrar, enfeiar, estragar, sujar."
MO-MBUB-A,"transitivo: 'amolecer, abrandar, 2 Almagrar, curtir, 3 Amansar,""por de molho."
MO-MBOER-A,"transitivo:: tor- nar velho, conservar velho, conservar, habituar, de- ter."
MO-MBUK-A,"transitivo: 1 furar, rachar, rebentar, fazer buraco em. 2 Deflorar."
MO-MBUK-AB-A,"transitivo: desperdicar, derramar."
MO-MBUK-I-PYRA,"deflorada, desvirginada."
MO-MBUKU,"transitivo:: 1 agastar, alon- gai, aumentar o tamanho de, dilatar, estender, prolon gar, retardar, reter. 2 Deter. 3 0fender."
MO-MBU-PUK-A,"transitivo: esfuracar, crivar."
MO-MB'-URU,"transitivo: ameacar, desafiar, detestar, amaldicoar, atentar contra."
MO-MB'-URU-A,"transitivo: emprenhar, engravidar."
MO-MBUTuE,"transitivo: i atentar. 2 Descansar, dar des- can<; o a. 3 Desembaragar."
MO-MBYK-A,"transitivo: atar, travar."
MO-MBY-RO,"transitivo: revolver, reiaexer."
MO-MBYTÃ,"transitivo:: dar pouso deter, fazer ficar. 2 Hospedar."
MO-M8YTUE,"transitivo: atentar, descansar, dar descan- so, desembaraqar."
MO-MEMUÃ,"transitivo:'desaxranjar, misturar, desfazer, desmanchar. 2 Apagar. 3 Fazer desaparecer."
MO-MENDAR-A,"transitivo: fcasar, fa 2 er o casamento de."
MO-MENDAR-I-PYRA-I,casado.
"MO-MI. Particulas agrupadas, o","""mo-"", causativo"
"MO-MI. Particulas agrupadas, o","o particpio ""mi”, passivo, agente expres so, correspondente ao relativo ""que"". Com um ver bo transitivo-neutro tem o sentido de fazer com aue."
MO-MI-AUCUB-A,"transitivo: tornar cativo a, cagar."
MO-MO,"condicional causativo, com duplicidade para énfase do sentido: fazer ou fazer com que."
MO-MO-CÃ-KAR-A,transitivo: enobrecer.
"MO-MOCAPYR - A,",iterativo: fazer pela terceira ve
"MO-MOCAPYR - A,",.
MO-MO-CEM-A,"transitivo: 1 acossar, correr atrãs de, levantar a caqa, rastrear. 2 Afugentar, enxotar."
MO-MOKOI - A,iterativo: fazer pela segunda ve
MO-MOKOI - A,.
MO-MOKOI-DABA,ordinal: segunda ve
MO-MOKOI-DABA,.
MO-MO-N'ANG-I-GOAN-A,transitivo: ter agouro de. Subs tativo: o que cre em agouro.
MO-MORANDUB-A,"transitivo: avisar, informar."
MO-MORANDUP-ARA,mensageiro.
MO-MORANG-A,"transitivo: 1 embelezar. 2 Apreciar, brin- car, festejar. J Afagar, acariciar. Substantivo: carlcia."
MO-MO—R—AUQUB-A,"transitivo: 1 compadecer-se de. 2 Afli- gir, humilhar."
MO-MOTAR-A,"reflexivo: fazer-se cobiqar, fazer-se que- rer. Motar-a é a nasalacão de potar-a: querer."
MO-MOTIÃ-C0,transitivo: escarmentar.
"MO-MOXY,","transitivo: arruinar, estragar, sujar."
MO-MYl - A,"transitivo: bolir, mover."
MONS,nome de um espirito.
MO-N'AN-A,transitivo: 5 misturar. 2 Apagar.
MO-NA-RANG-A,transitivo: quebrar umas contra outras.
MONdA,ladrao.
MONDÃ-BE-Y-BORA,bébedo.
MONDÃ-BE-Y-PORA,bebedo.
MONDÃ-BORA,ladrao.
MONDÃ-CABA,coisa furtada.
MONDÃ-CÃ-g0erA,coisa furtada.
MONDÃ-ECÉ,transitivo: furtar.
MONDÃ-MONDÃ-TENHE,"transitivo: caiuniar,"
MONDÃ-MOND-AR-A-ECÉ,"transitivo-relativo: 1 tomar por, suspeitar mal de, 2 Ter ciume de."
MOND-AR-A-ECÉ,"transitivo-relativo: 5 julgar que seja, suspeitar mal de, tomar por. 2 Ter ciúme de, A regen cia deste Verbo: difere da do portugués."
MONDÃ-r0-a-G 0ERA,coisa furtada.
MONDÃ-Ró-Af-iA,coisa furtada.
MONDÃ-Ró-CUl,transitivo: trair.
MONDÃ-Ró-ECÉ,transitivo: furtar.
MO-NDEB-A,"transitivo: calgar, enfiar. meter,_por, pren- der, vestir. 0 segundo elemento, desconhecendo-se o seu senti"
MO-NDEB-A,do primitivo.
MO-NDEB-A-PUPÉ,"transitivo-relativo: colocar dentro de, encarcerar, enfiar,"
MO-ND'-ECE-BA,"transitivo: enligar, tramar, tecer rede, tecer cestos, etc."
MO-ND0,"transitivo:: atirar, dar a distancia, deixar ou mandar ir, enviar, enxotar, fazer ir, largar, percorrer (com os olhos), tocar para."
MO-ND0-gOK-A,"iterativo: cortar, espedagar, quebrar em varios pedagos, =apiti,"
"MO-ND0-g0-ND0-COK-A,",iterativos ficar quebrando em vã- rios pedagos
"MO-ND0-g0-ND0-COK-A,",. A duplicação é de iteração.
"MO-NDOK-A,","transitivo:: 1 interromper, quebrar, rasgar, Cortar em instrumento, apanhar (quebrando o talo)."
MO-ND0. MO-NDOK-A,iterativo: ficar quebrando.
MO-NDOROK-A,"transitivo: arrancar, cortar (rasgando), dilacerar."
MO - NuOI-A,"intransitivo: fazer com que transborde, cn- tornar, transbordar,"
MO-NDYA-BORA,transitivo: empobrecer.
MO-NDY-iJYK-A,transitivo: 1 fazer chegar uns após ou- tros.! Juntar diversas partes.
MO-NDY-I-A,"transitivo: 1 amedrontar, assustar, atemori- zar, espantar. 2 Estremecer. a Expuisar."
MO-NDYK-A,"transitivo:: J fazer chegar, acabar de, chegar. 2 Acen der, incendiar, queimar. 3 Destruir. ''Rematar, conclui- ir."
MO-NDYK-ABA,": fim, conclusao."
MO-NDYK-UKAR-A,"transitivo: acabar de, fazer chegar, che gar. Acender, incendiar, queimar. Destruir. Rematar, concluir."
MO-NDYKYR-A,transitivo:: derreter. Dis tilar.
MO-NDYRYK - A,"transitivo: correr: 1 fazér correr, fazer deslizar. 2 Debulhar."
MO-NDYRY-RYK-A,"transitivo: afastar, arrastar, desviar."
MO-NE,condicional de obrigação. Dã idéia de obri- gação ao Verbo: Ex: ere-gó-mo-ne-kori-mo: deverias ir hoje.
MO-NEM-A,"transitivo: tornar fétido. - MO-NE-MO. Partlculas agrupadas, com fungao adverbial condi- cional: deveria para bem."
MONG-A,"transitivo: grudar, lambusar, sujar (com coisa pegajosa)."
"MO-NGA-K0AB-A,","transitivo: criar, fazer saber, infor - mar."
MO-NGA-KU-G0AB-A,"transitivo: avisap, criar, informar."
MO—NG-ARA,: doador.
"MO - NGARAIB-A,",-
"MO - NGARAIB-A,",sagrado. Verbo: transitivo: -
"MO - NGARAIB-A,","aben goar, batizar, benzer, sagrar, santificar."
