tupi,portugues
MI-AR-A E^E,"transitivo: cagar, capturar."
MI-ARATAKAKA.,": maritataca, cangambe, mamlfero da familia dos mustelideos, ginero Conepatus."
MI-AU^UBA.,"escravo(s). Com certas particulas se substantiva como ""t-e"". Ex: a amada e, por extensao, o amado (escravos): t-e-mbi-auguba."
MI-BORA.,marca ou sinal de langa.
MICjA.,fmissa.
MIQA MO-NHANG-A.,intransitivo:
MIQA MO-NHANG-A.,celebrar ou dizer missa.
MIQA RAANG-A.,intransitivo: celebrar ou dizer missa.
MI-E. Partlcula que seinscrenos verbos formados com o,"""ro-"" e fica entre ele e ""t-e-"". Ex: t-e-mi-e-ro-Ie - upira: levado de subida."
MI-E-I-ABA.,cocho onde se rala mandioca.
MI-E-NO-TI.,t vergonhas.
MI-gOeba,"deflorada, desvirginada."
MI-KOATI-ARA.,"carta, desenho, escrita, livro, pintura."
MIM-A.,"transitivo: Na 3 a. pessoa, levando pro- notne objetivo, ou seja a nasal ""nho-"" (por ser monossila bico), significa: esconder. Ex: nha-nho-mim: nos o esc;._i demos."
MIMBABA.,"irregular: animal domaestico: ave, cria."
MIMBABA-MARAKAlA.,"fgato domaestico, animal da familia dos felldeos."
MIMBAB'-ETA.,"t rebanho. 0 Sufixo: ""eta"" e al plu- ralizador."
MI-MBO-6,t disclpulo.
MI-MBOAIA.,irregular: t
MI-MBOAIA.,"servo, criado. 2 Sudito."
MI-MBUKU.,: t langa.
MIMBY. Participio,"o que e soprado, flauta, ins- trumento de sopro. Verbo: intransitlvo irregular: tocar."
MIMBY-APARA. Sabstantivo,trombeta.
MIMBY-PUKU,tronsbeta.
MIMBY-PUKU,apara
MIMBY-PYQARA,"flautista, gaiteiro-"
"MI-MO-E-MI. Particulas agrupadas em que o participlo ""mi”, passivo, de agente expresso, pre- ceda de ''rno^ 11, torna-se",transitivo: ou reflexivoEx: xe r-e-mi-mo-e-mi-mborara-puera: aquele que eu fi
"MI-MO-E-MI. Particulas agrupadas em que o participlo ""mi”, passivo, de agente expresso, pre- ceda de ''rno^ 11, torna-se",sofrer.
MI-MOIA,"irregular: cczido, coisa cozida"
MI-MO-NOO,"enviado, mensageiro."
MI-MUKU,langa.
MINA,"abrolhos, estrepe."
MINA,Langa.
MINA-PORA,marca ou sinal de langa.
MI-NDO-KUR -UERA.,"farelo de farinha peneirada, limpadura, varredura de farinha. i, ii ii ii"
MI - NDUO.,"mastigado, mordido. Nduu e çUU nasa- lado. Verbo: transitivo: mastigar, morder."
MI - NDY-PYRO.,"ensopado, papas, pirao. Verbo: transitivo: irregular:: ensopar."
MI-NGAO.,": feito nanas, min- gau."
MI-NGAO-POMONGA.,grude.
MIN-GUABA.,"conhecido, sabido."
MIN-GOI-PI-TINGA.,"mexido de carima, com carne ou ervas."
MI-PANA.,lavrado. Note-se que nao ha nasalaçao com mi.
MIRI.,"miudo, pequeno. Equivale aos sufixos "" i “ G "" J ""."
MIRl-MIRl,muitas coisas miudas ou pequenas. A dupli
MIRl-MIRl,"caçao e pluralizadora, sem desclassificar o sentido como Adjetivo:"
MIRO-KAlA.,variedade de peixe.
MI-TYMA.,"horta, plantaçao. t Horto."
MI-U.,: comida.
MI-XA-KURUBA.,variedade de farinha que nao se pe- neira.
MI-XIR-A.,intransitivo: irregular: assar-se.
MIXUNA.,negro. Nasalatjao de pixuna.
MI-XYRA.,"e particlpio irregular: assado, coisa as- sada. Verbo: intransitivo: irregular: assar-se,"
MO,"causativo: fazer, converter em, tornar. Muda certos verbos intransitivos e reflexivos em transitivos, mas, com ele formados, o sujeito tambem participa da açao do obje- to, ou, pelo mencs, entre o sujeito e o objeto ha alguma conexao especial. 0 Verbo: intransitivado torna-se novamen te transitivo com ""mo-"". Os verbos com ele formados levam o Pronome: objeto da 3 a. pessoa, mas podem dispensa-lo. Co mo intransitivos os reflexivos admitem Prefixa o Substantivo: modificado por complemento atributivo. 6 raais usado do que ""mbo-""."
MO.,"prepositivo modal. Variaçao de ""ramo"": como, conforme, segundo. Tem as propriedades de: a) levar o Verbo: ao gerundio. Ex: kytl: cortar. Kyti- a-mo: cortando; b) juntada ao indicativo tornar a acjao do Verbo: condicional. Na forma negativa se intercaia ""xo-e"" ou ""xo"". Ha interrogativa a particula ""pe"" se a antepoe."
M,ñdverbio: acola.
MO-A.,dedo da mao.
MO-AB-A.,"transitivo: abrir, rachar. So se usa com o ob jeto incorporado ou com o reflexivo."
MO-ABA.,"transitivo:: dar alforria a homem, fazer ser filho, fazer ter filho, tornar homem."
MO-ABA-ETfi,"transitivo: honrar alguem, respeitar alguem,"
MO-AB'-AlBA.,"transitivo: dificultar, impedir."
MO-ABaTab-AIB-A.,"transitivo: dificultar, impedir."
MO-ABAI'-PABA.,: imoedimentO.
MO-ABAITfi,"transitivo: dificultar, aaastar, irar, irri- tar."
MO-ABANGAB-A.,"transitivo: descoroijoar, acovardar, enfra quecer, convencer, desfazer, resistir. Adjetivo: acovar- dado."
MO-ABARAB-A.,transitivo: manchar.
MO-ABARE.,transitivo::
MO-ABARE.,"tornar sacer - dote, ordenar Padre."
MO-A^Y.,"transitivo: arrepender-se de, sentir, ter inveja de, invejar, levar ou tomar a mal,"
MO-AQY-PABA.,:
MO-AQY-PABA.,contrigao.
MO-A-GOfi,"transitivo: por ou tirar, ou chegar ate o meio de."
MO-A-gOy A-GOY.,"transitivo: brandir, sacudir, fazer vi- brar."
MO-AI-A.,"transitivo: encher o papo de, tornar papudo."
MO-AlBA.,"transitivo: estragar, arruinar, enfeiar, enve- lhecer."
MO-A-lE-REB-A.,transitivo: arredondar. /177 mo-aTO mo-aOb-a
MO-aTO.,"transitivo: importunar, agitar"
MO-aTO.,"andar atras"" de, atordoar, molestar."
MO-ATuB-A.,"transitivo: importunar, agitar, andar atras de, afcordoar, molestar."
MO-A-TUB-A.,"transitivo: amarelar a cabega de, amarelar o cabelo de."
MO-AKAR-A.,"transitivo: dobrar (fio, corda, pano, etcJ."
MO-AKANGA-gOA.,"transitivo: fazer a cabega de, fazer saliencia em."
MO-AKANGA-O-RUNG-A.,transitivo: adornar a cabega de
MO-AKANG r -YRA,transitivo: descorogoar.
MOAKUB-A.,"transitivo: neutro; aquecer esquentar, tornar quente."
MO-AKUB-UKAR-A.,transitivo: mandar esquentar.
MO-A-KUI.,"transitivo: secar, enxugar."
MO-AKYM-A.,transitivo: molhar.
MO-AKYR-A.,"transitivo: amolecer, abrandar."
MO-AM-A.,"intransitivo:; i colocar de pe, erguer, fazer estar. 2 Urdir (teia r rede, etc.)."
MO-AMANDAB-A.,"transitivo: arredondar, cercear."
MO-AMY - KY-QIM-A.,transitivo: tornar pegajoso.
"MO-ANG-A. Particulas agrupadas, com funcao adjetiva: tido como, suposto","transitivo: abrigar, conjecturar, cuidar, dar, finqir, imaginar, supor, suspeitar, julqar. Ex: a-qo mo-ang: cuido ir."
MG-ANGAB-A.,"transitivo: diminuir, desfazer em, mo-angaI-pab-a, Verbo: transitlvo: estragar, arruinar“ mo-aiba"
MO-ANGAIPA-KATU,"transitivo: incomodar, fa zer mal a."
MO-ANGATURAM-A,transitivo: tornar feli
MO-ANGATURAM-A,ou bom r honrar.
MO-ANGANTURA-NGATU.,"transitivo: aperfeigoar,"
MO-ANG-a 0 b-A.,"transitivo: fingir, fazer que, pensar erra damente, Gerundio: mo-angaupa: fingindo. Ex,: a-go mo-ang -aub: finjo que vou."
MO-ANG'-EKO.,"transitivo: afligir, entristecer, molestar,"
MO-ANG'-EKO-aIb-A.,"transitivo: molestar, entristecer, causar pena a. - mo-ang'-eko,"
MO-ANHAN-A,"transitivo: empurrar, dar encontrao em, dar empurrao em"
MO-ANHE.,transitivo: apressar.
MO-ANING-A,"transitivo: causar arrepio a, excitar sexual mente,"
MO-aOB-A.,"transitivo: vestir, revestir"
MO-APA.,"transitivo: bater, tocar (instrumento de percussao)."
MO-APA-g0y,"transitivo: brandir, sacudir, fazer vibrar. - mo-aguy-aguy."
MO-APA-IS.,"transitivo: i por a araadurecer. 2 Curvar, incli"
MO-APA-IS.,nar.
MQ-APA-IEREB-A.,"transitivo: derrubar, fazer rolar."
MO-APA-I-O-Y-BYRA.,transitivo: emparelhar.
MO-APA-I-U-GOA.,transitivo: encarogar. “ mo-apa-tyna.
MO-APA-K01-A.,"transitivo: derrubar, deitar por terra, derrigar."
MO-APA-PUB-A.,"transitivo: amolecer, convencer, abrandar."
MO-APAR-A. Verbp transitivo: entortar,entrevado.
MO-APAR-A Iereb-A.,transitivo: rolar.
MO-APAR'-ATA.,"transitivo: estirar, entesar. Ata sufixa como para reaigar o emprego de forca no objeto."
MO-APA-TYNA.,"transitivo: encaroqar, misturar. - mo- apa-i-u-gua."
MO-APA-XIXA.,"transitivo: encarogar, misturar. Substan- tivo: mistura."
MO-APE.,"transitivo: entortar,"
MO-APEPU.,"transitivo: abrir greta em, gretar, abrir gretando."
MO-APERERA.,"transitivo: encaroqar, misturar, aparar, tosar."
MQ-APIA.,transitivo:
MQ-APIA.,circuncidar.
MO-API-TINGA.,transitivo: manchar.
MO-API-XO-QOK-A.,transitivo: contar aos trancos.
MO-APONG-A.,intransitivo: opilar.
MO-APOA-I.,transitivo: encurtar.
MO-APUA.,"transitivo: agucar a ponta de, fazer ponta em."
MO-APUA.,transitivo:'amontoar. 2 Arredondar. 3 Fazer bolo tas de.
MO-APUA-I.,transitivo: encurtar.
MO-AP0AM-A.,transitivo: fazer bolotas de.
MO-APUA-'O-BYRA.,"transitivo: fazer a ponta de, fazer pon ta em."
MO-APY.,transitivo: esgotar.
MO-APY-AMA.,transitivo: ‘inclinar. a Ladear. 3 Fazer des- cer. 'Curvar. mo-apy-qA-kA. Verbo: intran3itivo: 1 fazer que ou
MO-APY-AMA.,"a. a Escarnecer, raotejar, remocar. mo-apy-qA-kOa-I-eO"
MO-APY-gA-KUA-i-EO.,transitivo: ensurdecer.
MO-APY-QA-kOA-I-eO-KA.,"transitivo: ensurdecer,"
MO-APY-gA-KOA-KANHEM. A-,transitivo: ensurdecer.
MO-APY-<JANG-A.,"transitivo: engrossar, coagular, coalhar."
MO-APY-<^YK-A.,"intransitivo: 1 consolar. 2 Contentar, delei- tar. 3 Sossegar, tranqiiilizar. “Fartar."
MO-APY-I-A.,"transitivo: arredondar, acertar as pontas."
MO-APYK-A.,"transitivo: cozer, cozinhar."
MO-APYR-A.,"transitivo: 1 inclinar, dobrar, curvar. 2 Con- cluir. mo-A-FYTA-gOA. Verbo: transitivo: fazer cabeça em, fazer sali- encia em."
MO-A-PYTA-I-YK-A.,transitivo: tornar pegajoso.
MO-APYTAM-A.,"transitivo: fazer feixe de, fazer ramalhe te de, fazer fiada de ramalhete de."
MO-A-PYT-'EREB-A.,transitivo: mandar.
MO-AR-A.,transitivo:
MO-AR-A.,"apanhar. 2 Fazer cair- 3 Tirar fogo. ""Dar a lu"
MO-AR-A.,", s Ajudar a nascer. 6 Embarcar."
MO-A-RE-A.,transitivo: aleijar.
MO-ARUAB-A.,"transitivo: impedir, estorvar."
MO-ARUAP ' -ABA.,: impedimento.
MO-AR-Y-BE,transitivo: cessar „ acalmar ou mitigar a dor de.
MO-ATA.,"transitivo: endurecer, estirar, distender, es- tender, esticar, enrijecer."
MO-A-TANHE.,transitivo: entesar.
MO-A-TEE.,transitivo: aleijar.
MO-A-TE-MA.,: uiI o'.
MO-A-TE-RE.,transitivo: cortar ate a rai
MO-A-TE-RE.,de.
MO-ATI-Al-A.,transitivo: eriqar.
MO-ATYR-A.,"transitivo: amontoar, arrepiar, encrespar."
M0-ATY-R5.,transitivo: qonsertar.
MO-A0IE.,"transitivo: 1 acabar, completar. 2 Cativar, es- cravizar, tornar cativo. 3 Vencer."
MO-aOIE-KATU.,"transitivo: aperfeiqoar, concluir, rema- tar."
MO-AYPAB-A,transitivo: esfalfar.
MO-AYR-A.,"transitivo: fazer ser filho, ter filho."
MO-AYR-I.,"transitivo: afinar, adelgagar."
MO-BABAK-A.,"transitivo: virar para um e outro lado, abanar."
MO-BA-PYK-A-E.,"transitivo: nivelar, terraplenar."
MO-BO-gYl-A.,"transitivo: carregar, por carga em, levar."
MO-BOK-A.,"transitivo: neutro: escalar peixe, estripar, furar, fender, lancetar, rachar, rebentar."
MO-BOK-ABA.,cunha.
MO-BYAR-A.,"transitivo: Momar, amansar, domesticar. 2 Acomodar."
MO-BY-BYK-A.,"transitivo: coser, costurar. A duplicaçao e significativa de repeti"
MO-BY-BYK-A.,ao de agoes para alcan -
MO-BY-BYK-A.,ar o objetivo.
MO-BY-BYK-ABA.,costura. A duplicaçao e signi- ficativa de repetiqao do ato para alcance do objeti vo.
"MOBYR. Indefinido; algumas vezes, alguns, poucas vezes, pouco. Precede o",e e Pronome: objetivo:
"MOBYR-IO. Indefinido: alguns, poucos. Precede o substantivo, e e",e Adjetivo:
"MOBYR-lO-AUB. Indefinido: alguns, pouquinhos. Precede o subj; tantivo e e",e Adjetivo:
MOBYR-MOBYR. Indefinido: alguns. Precede o,e e Pronome: e Adjetivo:
MO-'QA-BE-I-POR-A.,"transitivo: embriagar, embebedar."
MO-'QA-BE-Y-POR-A.,"transitivo: embriagar, embebedar,"
MO-'QA-BE-Y-POR-A.,a-be-i-por-a.
MO-'QA-QAI-A.,iterativo: espalhar.
MO-QAI-A,"iterativo: espalhar, estender."
MO-'QA-INAN-A-EQE.,"transitivo: relativo: preocupar, fa- zer cuidar, cuidar."
MG-QA-INGO.,transitivo: pendurar.
MO-'QA-K-ARA.,"homem hospitaleiro/ fidalgo, o que acolhe, homem generoso, homem liberal."
MO-'QA-KOl-EQE.,"transitivo: relativo: acauteiar, prover."
MO-'QA-KOI-EQE.,"transitivo: relativo: preparar para, pro ver de, preparar."
MO-QAM-A.,"transitivo: amarrar, enastrar, iif"
MOQA-MOQAl-A.,"transitivo: esborralhar, espalhar. A du- plicaQao e de realce."
MOQ'-ANG'-6-lARA. Substantivo; senhor das mezinhas e feiti- <jos,feiticeiro.
"MOQAPYR. Numeral-cardi'nal: tris, tres vezes",- ordinal: terceira ve
"MOQAPYR. Numeral-cardi'nal: tris, tres vezes",", terceiro. Pode significar tres juntos, mas a palavra a que numera se for paroxitona perde a sllaba final. Ex: akanga - cabega. Akan-mogapyra: tres cabegas juntas.= nvogapy t,"
MOQAPYT.,"cardinal: tres, tres vezes."
MO-QARAI-A.,"transitivo: brincar, fa 2 er festas. Substan- tivo: brincadeira, festa, jqgo. So aparece em compo sigao, porque se trata da palavra ""nhe-mo-garai-a 1 '."
MO-QEM-A.,"transitivo: despedir, enxotar, fazer sair, to car para fora, tocar para."
MOQU.,". mugum, peixe da familia dos simbranquios, genero Symbranchus."
MO-QUQUNG-A.,"transitivo: acalentar crianga, sacudir."
MO-QU-QUNG-A.,transitivo: sacudir.
MO-QUNUNG-A.,transitivo: sacudir.
MO-QYK-A.,"transitivo: neutro: dar puxao, fazer chegar."
MO-QYKYlE.,"transitivo: assustar, espantar, amedrontar, atemorizar."
MO-QYM-A.,transitivo: alisar.
MO-CYNl-NING-ñ,sino.
MO-CYRYK-A,"transitivo: fritar, l"
MO-QYRY-RYK-A.,transitivo: iterativo: fritar. A duplica- cao e de realce.
MO-fi,"transitivo: derramar, expelir."
MO-EBUR-UQU.,"transitivo: a, umentar o tamanho, engrande - cer."
MO-fi-BYK-ATA.,transitivo: empanturrar.
MO-EQA-GUY-R-YBA.,"transitivo: tontear, causar vertigens a, enjoar."
MO-EQSI-A.,"transitivo: alegrar, recrear."
MO-EQ^I-ND'-ABA.,"alegria, causa de alegria. mo-eqi-kOar-a mo-gOA-pyk-a"
MO-EQA-K0aR-A.,transitivo: amontoar.
MO-EQA-kOAR-ANAM-A.,transitivo: amontoar.
MO-EQA-kOAR-ANAM-A.,a- kuar-a.
MO-EQA-PYTUM-BYK-a,transitivo: fazer desmaiar.
MO-EE.,"transitivo: adoqiar, salgar, temperar."
MOEMA.,"irregular: calunia, mentira, intrigan- te. Adjetivo: caluniador, mentiroso y intrigante."
MO-EM-A.,"transitivp: derramar, expelir."
MOEM-A-EQe,"transitivo: irregular: levantar falso contra, mentir."
MO-E-MBIAR-IAR-A-EQE.,reflexivo: relativo: deixar-se vencer por. - mo-e-mbiar-Iar-i-iar-a-e<je.
MO-E-MBIAR-I-IARA-EGE,reflexivo: relativo: deixar-se vencer por.
MO-E-MBIAR-YBY.,transitivo: assar em covas.
MO-E-MI-MBORA-RA.,transitivo: fazer sofrer.
MO-EMON-A.,"transitivo: comichar, estimular."
MO-EN-A.,transitivo: derramar.
MO-ENDY.,transitivo: acender lu
MO-ENDY.,", iluminar."
MO-ENDY-I-AB-A.,"transitivo: tirar faisca de, tirar fogo ou chispas."
MO-ENDY-KA.,transitivo: acender fogo.
MO-ENDY-PUK-A.,transitivo: dar brilho em.
MO-ENONDE.,transitivo: adiantar.
MO-E-PY,"transitivo: 1 pagar, compensar, descontar."
MO-E-PY,"Premiar, recompensar. 3 Remir, resgatar."
MO-E-PY.^AM-A.,transitivo: separar ou dividir so de unt lado.
MO-E-R-APUAN-A.,"transitivo: 1 tornar famoso, celebrizar. 2 Celebrar."
MO-E-R-APUAN'-AIB-A.,transitivo; difamar.
MO-E-R-APUAN-I-MBYRA-I.,"‘afamado, celebre."
MO-ETA.,"transitivo: multiplicar, aumentar o numero de."
"MO-ETE,","transitivo: 1 gabar, honrar, estimar, enaltecer, fazer caso de, engrandecer. 2 Acatar, respeitar."
"MO-ETE,","Ado rar, venerar."
MO-gOab-A.,"transitivo: coar, joeirar, peneirar."
MO-GOAl-A.,defectivo: irregular:
MO-GOAl-A.,"cortar com cunha, com machado ou a golpes."
MO-GOAl-A.,Ferir com instrumento.
MO-G0A-PYK-A.,"transitivo: assentar, fazer sentar, aco- modar, sentar-se. mo-gOeb-a mo-Ie-qOer-a"
MO-gOeb-A.,transitivo: apagar.
MO-GOe-I-YBA.,"transitivo: fazer descer, abaixar."
MO-G0Y-API.,"transitivo: 1 atirar no chao, derrubar. 2 De sarmar."
MO-GOYR-A.,"transitivo: aliviar o peso de, erguer, levantar."
MO-GUY-RuPA.,"transitivo: atirar no chao, jogar no chao"
MO-IAB-A.,"transitivo: fazer com que se abra, fazer a- brir."
MO-IA-Q-EKO.,"transitiv’o: dependurar, pendurar, supen- der."
MO-IA-QEO.,"transitivo: fazer chorar, mover a pranto."
MO-IA-QYK-A.,"transitivo: banhar, lavar."
MO-IA-QYK-A.,batizar.
MO - IANYPA'GUER-A.,transitivo: tingir ou manchar de jenipapo com o contacto do corpo.
MO-IA-OK-A.,"transitivo: apartar, distribuir, dividir, repartir."
MO-I-ARA.,variedade de colar.
MO-lAR-A-EQE.,"transitivo: relativo: 1 colar, pregar, aper tar contra, encurralar, encostar, unir, cerrar. 2 Ata- car, agredir, investir contra."
MO-lAR'-ATA.,transitivo: apertar contra algo.
MO-I-ARU.,"transitivo: brincar, escarnecer, motejar, zombar de."
MO-lA-TINUNG-A.,"transitivo: balangar, embalar."
MO-lA-uO.,"transitivo: alcangar, nascer antes que o irmao precedente seja desmamado."
"MO-lE. Partlcula, conposta do","causativo ""mo-"" e da reflexiva ""le"", geralmente tomada pelos verbos intran sitivos de Pronome: paciente. Ex: akub"
MO-lE-BIAR-A.,"intransitivo: honrar, obedecer."
MO-lE-BYR-A.,"intransitivo: converter, devolver, fazer voltar, remar para tras repetir, vomitar. r"
MO-lE-BYR-UKAR-A.,"intransitivo: devolver, fazer voltar restituir."
MO-tE-QEAR-A.,intransitivo:
MO-tE-QEAR-A.,"frechar. Juntar, misturar coisas da mesma especie, unir."
MO-lE-QUB-A-QUPE.,"transitivo-relativo: deparar. mo-Ie-qOer-a. Verbo: intransitivo: induzir a ir, convencer de ir, fazer ir. mo-Ie-guak-a"
MO-IE-gCak-A.,"intransitivo: adornar, ataviar, enfeitar, engalanar, orr. anentar, pintar."
MO-IE-IUKA.,"reflexivo: fazer matar-se, fazer com que se mate."
MO-lE-KAK-A.,intransitivo: flexar de uma ve
MO-lE-KAK-A.,.
MO-lE-KO(^UB-A-EQE.,"transitivo-relativo: ajudar a obter, conceder, fazer alcancar."
MO-lE-KOgUP-ABA.,": concessao, resultado."
MO-Ie-kCaB-A.,"transitivo: manifestar, demonstrar."
MO-lE-KUNDAB-A.,"transitivo: e reflexivo: contorcer, con- torcer-se."
MO-lE-KUND-AQAB-A.,intransitivado: atravessar ou cruzar uma coisa sobre outra.
"MO-IE-MO, Particulas agrupadas, com o","causativo ""mo-"""
"MO-IE-MO, Particulas agrupadas, com o","a reflexiva ""le” e novamente ""mo“. S tomada pelos verbos intransitivos de prorvomes pacientes: Ex: akub= ser quente- A-x-mo-Ie-mo akub: fago-o esquentar-se."
MO-IE-MO-AKUB-A.,intransitivado: fazer com que se esquente.
MO-IE-MO-PI-ROY.,intransitivo:: fazer com que se refresque.
MO-1e-POKU-g0ab-A.,"intransitivado: acostumar, exercitar."
MO-lE-POTA-BS.,intransitivo: continuar.
MO-Ie-POTA-bS-TABe,"frequentativo: ficar continuando,"
MO-lE-POTAR-Aiiubstantivo variedade de colar,transiti
MO-lE-POTAR-Aiiubstantivo variedade de colar,"vo:'acender. 2 Atear fogo, fa gulhar, tirar fogo. 3 Colar,. juntar, unir."
MO-lE-PUBU-IEREB-A.,intransitivo: afundar.
MO-IEREB-A.,"transitivo: virar, dar volta em."
MO-IERE-k0ab-A.,"transitivo: aplacar, reconciliar, aman sar."
MO-lE-R-O-BIAR-A.,"transitivo: honrar, obedecer."
MO-IE-R-O-BUR-A.,"transitivo: 1 avivar, reavivar. 2 Renovar."
MO-lE-R-O-BYK-A.,"transitivo-relativo: fazer com que se juntem, juntar, unir."
MO-IE-TANO.,"intransitivo: inaugurar, estreiar."
MO-IE-TANONG-A.,"intrarisitivo: inaugurar, estreiar."
MQ-IE - UPIR-A.,intransitivo: fazer subir.
MO-IN-A.,transitivo:
MO-IN-A.,"colocar ou por sentado ou quieto. 2 Cozinhar, ’Entoar, tirar canto."
MO-IN-A-<SUPS.,"transitivo: relativo: apontar pa- ra, armar."
MO-IN-A ETA-REQE.,transitivo: prender.
MO-IN-A NHEENGA-guPE.,"intransitivo: arrozoar, discur - sar, falar a, fazer discurso."
MO-IN-GATU.,"transitivo: 1 firmar. 2 Guardar bem, fazer estar bem."
MO-INGe,"transitivo: fazer entrar, introduzir, reco- lher. S irregular somente em sua formaqao: a partl- cula causativa ""mo-"""
MO-INGe,"o Verbo: ""ike"" entrar,"
MO-ING0,"transitivo: colocar, dependurar, estabelecer, fazer estar, fazer com que se faga, fa zer que, fazer ser, fa 2 er viver, tornar a. S irregu lar somente em sua formaçao: a particula causativa ""mo-"""
MO-ING0,"o Verbo: ""iko"""
MO-INGO-BE.,transitivo: fazer viver. fresuscitar. =
MO-INGO-BE. IE-BYR-A.,transitivo: t resuscitar. =
MO-ING0-BE-KATU.,transitivo: prolongar a vida.
MO-INGO-BE-PUKU.,"transitivo: fazer viver longamente, prolongar a vida, tornar a vida mais comprida."
MO-ING0-E.,"transitivo: separar, diferengar, distinguir."
MO-ING0-KATU.,"transitivo: fazer estar bem, viver ou ser bem, ajeitar."
MO-ING0-PUKU.,"transitivo: fazer viver longamente, fa- zer a vida mais comprida."
MO-INGO-TEBE.,"transitivo': afligir, entristecer."
MO—INGO-UKAR—A.,"transitivo-relativo: fazer que, in- duzir."
MO-IN'-I-BE.,"transitivo: confirraar, sustentar."
MO-IO A-KY-PEE ' -KY-PEER-A.,transitivo: repetir.
MO-IO-A-KY-POER-A.,transitivo: repetir.
MO-IO-APARY-BYR-A.,"transitivo: dobrar pelas pontas, eraparelhar."
MO-lO-APYR-A.,"transitivo: acrescentar a, emendar."
MO-IO-AR-A.,"transitivo: dobrar, aumentar o numero de, multiplicar."
MO-IO-BAI-A.,transitivo: por um diante do outro.
MO-IO-BAI-x0ARqA.,transitivo: por um diante do outro. - mo-Io-bai-a.
MO-tO-gAR-A.,transitivo: causar ardor a ( causar travo.
MO-tO-E-R-O-BYK-A.,"transitivo: juntar, fazer com que se juntem,"
MO-IO-I-AB-A.,"transitivo: igualar, aplainar, nivelar."
MO-IO-I-AB-A.,transitivo:: fazer igualarem-se (para duas ou mais coisas).
M0-l0-I-AB-A-EgS.,intransitivo: comparecer.
MO-Io-IUKA.,transitivo-relativo: fazer com que se ma- tem.
MO-IO-YBYR-A.,"transitivo: dobrar pano, etc."
MO-lUB-A.,"transitivo: tingir de amarelo, amarelar, dourar."
MO-i-U-PlA-E-R-UB-A.,transitivo: por a chocar.
MO-IURA-RA-GDAl-A.,"transitivo: desmentir, convencer de mentira."
MO-lURU-E.,transitivo: desenfastiar.
MO-I-YB-A.,"transitivo: 1 assar, cozer, guisar. 2 Fazer suar."
MO-KABA.,"arma de fogo, bombarda, fusil, ti- ro."
MO-KAB-AYNHA.,pelouro.
MO-KAB-OBY.,bombarda.
MO-KAB-OKA.,fortaleza.
MO-KAB-ugu,canhao.
MO-KAB-ugu-MIRI.,bombarda.
MO-KAE.,"grelha, moquem. Verbo: transitivo:"
MO-KAE.,"defumar, moquear, secar, tostar. Ex: a-I-mo-kae pira: eu moqueei o peixe."
MO-KAE-YTA.,grelha. =
MO-KAE-YTA—lURA,grelha.
MO-KAl-A.,transitivo: queimar.
MO-KA-KUAR-A.,bombaraeira.
MO-KA-KUl,polvora.
MO-KAMB-U.,"intransitivo: criar ao peito, amamentar, dar leite a."
MO-KAMB-U-ARA,: ama de leite.
MO-KANAI-A.,transitivo-neutro: fazer bolir. ffl
MO-KANEO.,"transitivo: cansar, fatigar."
MO-KANG-A.,transitivo: enxugar.
MO-KANHEM-A.,"transitivo: Mestruir, consumir. 2 Afugen- tar. 3 Tirar."
MO-KARU-gOara,"engenhoso,"
MO-KIKIK-A.,transitivo: fazer cocegas em.
MOKd,"moco, prea, roedor da familia dos cavidas, genero Kerodon."
MO-KO^OK-A.,transitivo: vascolejar.
MO-KOEM-A.,transitivo: por ao relento ou ao sereno.
"MO-KOI. Numeral-cardinal: dois. Literalmente; faz par. Tam- bem significa dois juntos, mas se a palavra a que nu- mera for paroxitona esta perde a silaba final",se adverbiaiizam: Ex: mo-koi o-kanhem: desapareceu por duas vezes.
MO-KOi-BE.,"ambos, ambos juntos."
MO-KOK-ABA.,"bordao, bastao, arrimo."
MO-KONHO.,e pronome: poucos.
MO-KOTOK-A.,transitivo; vascolejar.
MO-KUAB-A.,transitivo: fazer estar.
MO-k0ar-A.,"transitivo: 1 fazer buraco em, furar. i Deflo- rar."
MO-KUB-A.,transitivo: fa 2 er estar.
MO-KU-QAMB-AR-A.,transitivo: dar lago em corda.
MO-KUl,polvora. Verbo: tran sitivo (fazer
MO-KUl,"ari-nha): J esfarelar, moer, pulverizar. 2 Humilhar."
MO-KUNHX.,transitivo: dar alforria a mulher.
MO-KU-TEl,"transitivo: sacudir, chocalhar. kogok-a."
MOKYRANA.,variedade de piolho.
MO-MAENDGar-A.,"transitivo: iembrar, fazer lembrar."
MO-MARA-AR-A.,transitivo: fazer com que se envergonhe.
MO-tiARAN-A.,"transitivo: desobedecer, ofender, resistir a."
MO-MARA-KGATU.,bom.
MO-MATUETE.,"transitivo: 1 enaltecer, engrandecer. 2 Aper- feicoar, esmerar-se. 3 Honrar."
MO-MBAB-A.,"transitivo: neutro: acabar, concluir, destruir-se."
MO-MBAB-UKAR-A.,transitivo: mandar acabar.
MO-MBAE.,trareitivo: enriquecer.
MO-MBAE-kOAB-A.,"transitivo: fazer saber, en sinar."
MO-MBAE-KU-G0AB-A.,transitivo: ensinar.
MO-MBA'-ETE.,"transitivo: 1 enaltecer, engrandecer. 2 Hon- rar, estimar, encarecer."
MO-MBAE-C.,transitivo: dar de comer a.
MO-MBAK-A.,"transitivo: acordar, despertar. Composto do Prefixo: causativo ""mo-"""
